"iv_malla_modi_id","mq_evi_mean","mq_evi_cv","mq_max","mq_evi_meanL","mq_evi_cvL","clu"
142799,2,2,1,"B","b","Bb1"
142800,2,2,4,"B","b","Bb4"
142801,3,1,1,"C","a","Ca1"
142802,4,1,2,"D","a","Da2"
142803,3,1,2,"C","a","Ca2"
142804,3,1,1,"C","a","Ca1"
142805,2,1,1,"B","a","Ba1"
142806,2,1,2,"B","a","Ba2"
142807,2,1,2,"B","a","Ba2"
143477,1,3,2,"A","c","Ac2"
143478,2,3,1,"B","c","Bc1"
143479,4,1,4,"D","a","Da4"
143480,4,1,4,"D","a","Da4"
143481,3,1,2,"C","a","Ca2"
143482,4,1,2,"D","a","Da2"
143483,3,1,2,"C","a","Ca2"
143484,3,1,2,"C","a","Ca2"
143485,2,1,3,"B","a","Ba3"
143486,2,1,1,"B","a","Ba1"
143487,1,1,2,"A","a","Aa2"
144156,1,3,1,"A","c","Ac1"
144157,3,2,2,"C","b","Cb2"
144158,4,1,4,"D","a","Da4"
144159,4,1,2,"D","a","Da2"
144160,3,2,2,"C","b","Cb2"
144161,3,1,2,"C","a","Ca2"
144162,4,1,1,"D","a","Da1"
144163,3,1,2,"C","a","Ca2"
144164,3,2,2,"C","b","Cb2"
144165,2,1,2,"B","a","Ba2"
144166,2,1,2,"B","a","Ba2"
144167,1,1,2,"A","a","Aa2"
144168,2,1,1,"B","a","Ba1"
144833,1,3,2,"A","c","Ac2"
144834,1,3,2,"A","c","Ac2"
144835,2,3,1,"B","c","Bc1"
144836,3,2,2,"C","b","Cb2"
144837,3,2,2,"C","b","Cb2"
144838,3,2,1,"C","b","Cb1"
144839,3,2,1,"C","b","Cb1"
144840,3,2,2,"C","b","Cb2"
144841,3,2,1,"C","b","Cb1"
144842,3,2,1,"C","b","Cb1"
144843,3,1,1,"C","a","Ca1"
144844,3,1,2,"C","a","Ca2"
144845,2,1,1,"B","a","Ba1"
144846,1,1,2,"A","a","Aa2"
144847,2,1,1,"B","a","Ba1"
145511,1,4,2,"A","d","Ad2"
145512,1,2,2,"A","b","Ab2"
145513,2,3,1,"B","c","Bc1"
145514,2,3,2,"B","c","Bc2"
145515,3,2,2,"C","b","Cb2"
145516,3,2,1,"C","b","Cb1"
145517,3,2,1,"C","b","Cb1"
145518,3,3,1,"C","c","Cc1"
145519,3,4,1,"C","d","Cd1"
145520,2,3,1,"B","c","Bc1"
145521,3,3,1,"C","c","Cc1"
145522,3,3,1,"C","c","Cc1"
145523,3,1,2,"C","a","Ca2"
145524,3,1,1,"C","a","Ca1"
145525,2,1,2,"B","a","Ba2"
145526,1,2,2,"A","b","Ab2"
146190,1,4,1,"A","d","Ad1"
146191,1,3,2,"A","c","Ac2"
146192,2,2,2,"B","b","Bb2"
146193,3,3,1,"C","c","Cc1"
146194,3,2,2,"C","b","Cb2"
146195,3,3,1,"C","c","Cc1"
146196,3,3,1,"C","c","Cc1"
146197,2,3,1,"B","c","Bc1"
146198,2,4,1,"B","d","Bd1"
146199,2,3,1,"B","c","Bc1"
146200,3,3,1,"C","c","Cc1"
146201,3,2,1,"C","b","Cb1"
146202,3,2,1,"C","b","Cb1"
146203,3,1,1,"C","a","Ca1"
146204,3,1,1,"C","a","Ca1"
146205,2,1,2,"B","a","Ba2"
146868,1,4,2,"A","d","Ad2"
146869,1,4,2,"A","d","Ad2"
146870,2,3,2,"B","c","Bc2"
146871,3,3,2,"C","c","Cc2"
146872,4,2,2,"D","b","Db2"
146873,4,3,2,"D","c","Dc2"
146874,4,3,1,"D","c","Dc1"
146875,3,3,1,"C","c","Cc1"
146876,2,3,1,"B","c","Bc1"
146877,2,3,1,"B","c","Bc1"
146878,2,3,1,"B","c","Bc1"
146879,2,3,1,"B","c","Bc1"
146880,2,3,1,"B","c","Bc1"
146881,3,2,1,"C","b","Cb1"
146882,2,3,1,"B","c","Bc1"
146883,2,1,1,"B","a","Ba1"
146884,2,2,2,"B","b","Bb2"
147547,1,4,2,"A","d","Ad2"
147548,2,2,2,"B","b","Bb2"
147549,2,3,2,"B","c","Bc2"
147550,3,2,2,"C","b","Cb2"
147551,3,3,2,"C","c","Cc2"
147552,4,3,2,"D","c","Dc2"
147553,4,3,2,"D","c","Dc2"
147554,3,3,1,"C","c","Cc1"
147555,3,3,1,"C","c","Cc1"
147556,3,3,1,"C","c","Cc1"
147557,3,3,1,"C","c","Cc1"
147558,2,3,1,"B","c","Bc1"
147559,2,2,1,"B","b","Bb1"
147560,2,3,1,"B","c","Bc1"
147561,1,3,1,"A","c","Ac1"
147562,1,3,1,"A","c","Ac1"
148227,2,4,2,"B","d","Bd2"
148228,2,4,2,"B","d","Bd2"
148229,3,4,1,"C","d","Cd1"
148230,3,3,1,"C","c","Cc1"
148231,3,3,1,"C","c","Cc1"
148232,3,3,1,"C","c","Cc1"
148233,3,3,1,"C","c","Cc1"
148234,3,3,1,"C","c","Cc1"
148235,3,3,1,"C","c","Cc1"
148236,2,4,1,"B","d","Bd1"
148237,2,3,1,"B","c","Bc1"
148238,2,2,1,"B","b","Bb1"
148239,2,3,1,"B","c","Bc1"
148240,1,3,1,"A","c","Ac1"
148241,1,3,1,"A","c","Ac1"
148242,1,2,1,"A","b","Ab1"
148905,1,4,2,"A","d","Ad2"
148906,2,3,2,"B","c","Bc2"
148907,2,4,2,"B","d","Bd2"
148908,3,4,1,"C","d","Cd1"
148909,3,3,1,"C","c","Cc1"
148910,3,3,1,"C","c","Cc1"
148911,2,3,1,"B","c","Bc1"
148912,2,2,1,"B","b","Bb1"
148913,3,3,1,"C","c","Cc1"
148914,3,3,1,"C","c","Cc1"
148915,2,4,1,"B","d","Bd1"
148916,1,4,1,"A","d","Ad1"
148917,1,3,1,"A","c","Ac1"
148918,1,3,1,"A","c","Ac1"
148919,1,3,2,"A","c","Ac2"
148920,1,2,1,"A","b","Ab1"
148921,1,3,1,"A","c","Ac1"
149584,2,4,4,"B","d","Bd4"
149585,2,4,4,"B","d","Bd4"
149586,2,2,4,"B","b","Bb4"
149587,2,3,1,"B","c","Bc1"
149588,2,3,1,"B","c","Bc1"
149589,2,3,1,"B","c","Bc1"
149590,2,4,1,"B","d","Bd1"
149591,3,3,1,"C","c","Cc1"
149592,3,3,1,"C","c","Cc1"
149593,3,3,1,"C","c","Cc1"
149594,2,3,1,"B","c","Bc1"
149595,1,3,1,"A","c","Ac1"
149596,1,3,1,"A","c","Ac1"
149597,1,3,1,"A","c","Ac1"
149598,1,3,1,"A","c","Ac1"
149599,1,4,1,"A","d","Ad1"
149600,1,3,2,"A","c","Ac2"
150263,2,4,2,"B","d","Bd2"
150264,2,4,2,"B","d","Bd2"
150265,2,4,1,"B","d","Bd1"
150266,2,3,1,"B","c","Bc1"
150267,2,4,1,"B","d","Bd1"
150268,2,4,1,"B","d","Bd1"
150269,2,4,1,"B","d","Bd1"
150270,3,3,1,"C","c","Cc1"
150271,3,3,1,"C","c","Cc1"
150272,2,3,1,"B","c","Bc1"
150273,1,4,1,"A","d","Ad1"
150274,1,3,1,"A","c","Ac1"
150275,1,3,1,"A","c","Ac1"
150276,1,3,2,"A","c","Ac2"
150277,1,3,1,"A","c","Ac1"
150278,1,3,1,"A","c","Ac1"
150279,1,3,2,"A","c","Ac2"
150942,2,4,2,"B","d","Bd2"
150943,3,3,2,"C","c","Cc2"
150944,2,4,2,"B","d","Bd2"
150945,2,4,1,"B","d","Bd1"
150946,2,3,1,"B","c","Bc1"
150947,2,3,1,"B","c","Bc1"
150948,2,3,1,"B","c","Bc1"
150949,3,2,2,"C","b","Cb2"
150950,2,3,1,"B","c","Bc1"
150951,2,3,1,"B","c","Bc1"
150952,1,3,2,"A","c","Ac2"
150953,1,3,1,"A","c","Ac1"
150954,1,3,1,"A","c","Ac1"
150955,1,3,2,"A","c","Ac2"
150956,1,4,2,"A","d","Ad2"
150957,1,3,1,"A","c","Ac1"
151623,2,4,2,"B","d","Bd2"
151624,2,4,2,"B","d","Bd2"
151625,2,4,1,"B","d","Bd1"
151626,3,3,1,"C","c","Cc1"
151627,2,4,1,"B","d","Bd1"
151628,2,4,1,"B","d","Bd1"
151629,2,3,2,"B","c","Bc2"
151630,2,3,2,"B","c","Bc2"
151631,1,3,1,"A","c","Ac1"
151632,1,3,1,"A","c","Ac1"
151633,1,3,1,"A","c","Ac1"
151634,1,3,1,"A","c","Ac1"
151635,1,4,1,"A","d","Ad1"
